_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,3
Affordable Housing Office,AFFHOUSING,,3
Arena Boards of Management,ARENAS,,3
Assessment Change,ASSESSMENT,,1
Association of Community Centres,COMMCENTRES,,3
Auditor General's Office,AUDITGEN,,3
Capital & Corporate Financing,CORPFINANCING,,2
Children's Services,CHILDSERV,,3
City Clerk's Office,CLERK,,3
City Council,COUNCIL,,1
City Manager's Office,CITYMANAGER,,3
City Planning,PLANNING,,3
City's Council,COUNCIL,,2
Court Services,COURTSERV,,3
Economic Development & Culture,ECONDEV,,3
Emergency Medical Services,EMERG,,3
Engineering & Construction Services,ENGINEERING,,3
Exhibition Place,EXHIBPLACE,,3
Facilities Management & Real Estate,FACILITIES,,2
Facilities Management & Real Estate (incl TE,FACILITIES,,1
Fire Services,FIRE,,3
Fleet Services,FLEET,,3
Heritage Toronto,HERITAGE,,3
Information & Technology,IT,,3
Integrity Commissioner's Office,INTEGRITYCOMM,,3
Legal Services,LEGAL,,3
Lobbyist Registrar,LOBBYREG,,1
Long Term Care Homes & Services,LONGTERMHOME,,3
Mayor's Office,MAYOR,,3
Municipal Licensing & Standards,LICENCING,,2
Municipal Licensing and Standards,LICENCING,,1
Non-Program Expenditures,CORPEXPENDITURES,,2
Non-Program Revenues,CORPREVENUES,,2
Office of the Chief Financial Officer,CFO,,3
Office of the Lobbyist Registrar,LOBBYREG,,2
Office of the Ombudsman,OMBUDSMAN,,3
Office of the Treasurer,TREASURER,,3
Parking Tag Enforcement & Operations,PARKINGTAGS,,1
"Parks, Forestry & Recreation",PARKS,,3
"Policy, Planning, Finance & Admin",POLICYADMIN,,2
"Policy, Planning, Finance and Administration",POLICYADMIN,,1
"Shelter, Support & Housing Admin",SHELTERADMIN,,2
"Shelter, Support & Housing Administration",SHELTERADMIN,,1
"Social Development, Finance & Admin",SOCIALDEV,,2
"Social Development, Finance & Administratio",SOCIALDEV,,1
Solid Waste Management Services,SOLIDWASTE,,3
TCHC Exempt,TCHCEXEMPT,,1
Theatres,THEATRES,,3
Toronto Atmospheric Fund,ATMOSPHERE,,1
Toronto Building,BUILDINGS,,1
Toronto Buildings,BUILDINGS,,2
Toronto Employment & Social Services,SOCIALSERV,,3
Toronto Environment Office,ENV,,2
Toronto Parking Authority,PARKING,,3
Toronto Police Service,POLICE,,3
Toronto Police Services Board,POLICEBOARD,,3
Toronto Public Health,PUBLICHEALTH,,3
Toronto Public Library,LIBRARY,,3
Toronto Region Conservation Authority,REGIONCONSERV,,2
Toronto Transit Commission - Conventional,TTCCONV,,1
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,2
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,1
Toronto Transit Commission-Conventional,TTCCONV,,2
Toronto Water,WATER,,3
Toronto Zoo,ZOO,,3
Transportation Services,TRANSPORTATION,,3
Yonge-Dundas Square,YONGEDUNDAS,,3
