_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuX3NMSlJCYWZuVW8,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuWTRDakxKYk42bFk,,,,
SOURCE_DOCUMENT_TITLE,2016 Budget Committee Recommended Tax Supported Operating Budget,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,2017 CITY COUNCIL APPROVED COMPLEMENT (estimated),,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuOUhYVlB2NlBuS2s,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2017,,,,
VERSION,Summary,,,,
ASPECT,Staffing,,,,
NOTES_CONTENT,Modified by staffing variance.csv to estimate approved values,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Full Time Equivalent,,,,
UNITS_CODE,FTE,,,,
UNITS_MULTIPLIER,1,,,,
TOTAL_AMOUNT,51339.950000000004,,,,
INTAKE_DATETIME,2017-05-04-00-02-13,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,23,,,
ARENAS,Arena Boards of Management,67.7,,,
AUDITGEN,Auditor General's Office,32,,,
BUILDINGS,Toronto Building,467,,,
CFO,Office of the Chief Financial Officer,105,,,
CHILDSERV,Children's Services,973.5,,,
CITYMANAGER,City Manager's Office,412,,,
CLERK,City Clerk's Office,386.3,,,
COMMCENTRES,Association of Community Centres,77.9,,,
CORPFINANCING,Capital & Corporate Financing,3,,,
COUNCIL,City Council,180,,,
COURTSERV,Court Services,252,,,
ECONDEV,Economic Development & Culture,284.5,,,
ENGINEERING,Engineering & Construction Services,128.9,,,
EXHIBPLACE,Exhibition Place,354,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",923,,,
FIRE,Fire Services,3175.3,,,
FLEET,Fleet Services,178,,,
HERITAGE,Heritage Toronto,7,,,
INTEGRITYCOMM,Integrity Commissioner's Office,3,,,
IT,Information & Technology,628,,,
LEGAL,Legal Services,356.4,,,
LIBRARY,Toronto Public Library,1734.3,,,
LICENCING,Municipal Licensing & Standards,476.5,,,
LOBBYREG,Office of the Lobbyist Registrar,8.3,,,
LONGTERMHOME,Long-Term Care Homes & Services,2373.9,,,
MAYOR,Mayor's Office,20,,,
OMBUDSMAN,Office of the Ombudsman,12,,,
PARAMEDIC,Toronto Paramedic Services,1445.8,,,
PARKING,Toronto Parking Authority,309,Backgroundfile-98499.pdf,,
PARKINGTAGS,Parking Tag Enforcement,394,,,
PARKS,"Parks, Forestry & Recreation",4283.9,,,
PLANNING,City Planning,376.5,,,
POLICE,Toronto Police Service,7881,,,
POLICEBOARD,Toronto Police Services Board,7,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",189.4,,,
PUBLICHEALTH,Toronto Public Health,1813.3,,,
REGIONCONSERV,Toronto & Region Conservation Authority,426.6,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",770.1,,,
SOCIALDEV,"Social Development, Finance & Administration",148,,,
SOCIALSERV,Toronto Employment & Social Services,2012,,,
SOLIDWASTE,Solid Waste Management Services,1113.7,backgroundfile-98496.pdf,,
THEATRES,Theatres,187.7,,,
TRANSPORTATION,Transportation Services,1011.1,,,
TREASURER,Office of the Treasurer,646.2,,,
TTCCONV,Toronto Transit Commission - Conventional,11798,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,571,,,
WATER,Toronto Water,1752.65,backgroundfile-98489.pdf,,
YONGEDUNDAS,Yonge-Dundas Square,6.5,,,
ZOO,Toronto Zoo,394,,,
311SERVICE,311 Toronto,160,,,
